timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1640861771734,0,Put Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 61: http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,Endurance Test 1-8,text,false,Test failed: code expected to contain /200/,1153,0,10,10,http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,0,0,0
1640861771728,31,Post All Activities,307,Temporary Redirect,Endurance Test 1-5,text,false,Test failed: code expected to contain /200/,763,312,9,9,http://eqrkelava-appservice.azurewebsites.net/api/Activities,31,0,0
1640861771759,0,Get Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 65: http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,Endurance Test 1-5,text,false,Test failed: code expected to contain /200/,1158,0,9,9,http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,0,0,0
1640861771759,0,Put Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 61: http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,Endurance Test 1-5,text,false,Test failed: code expected to contain /200/,1153,0,9,9,http://eqrkelava-appservice.azurewebsites.net/api/Activities/<EOF>,0,0,0
1640861771580,204,GET All Activities,200,OK,Endurance Test 1-2,text,true,,4419,801,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_3b8f33980d1b90474c083fe0b61ead9dfaa19270fd59_ZbJgRGGT_,25,0,0
1640861771580,25,GET All Activities-0,302,Moved Temporarily,Endurance Test 1-2,text,true,,760,183,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities,25,0,0
1640861771605,125,GET All Activities-1,302,Moved Temporarily,Endurance Test 1-2,text,true,,499,361,8,8,http://eqrkelava-appservice.azurewebsites.net.x.3b8f33980d1b90474c083fe0b61ead9dfaa1.9270fd59.id.opendns.com/h/eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_3b8f33980d1b90474c083fe0b61ead9dfaa19270fd59_ZbJgRGGT_,125,0,96
1640861771730,54,GET All Activities-2,200,OK,Endurance Test 1-2,text,true,,3160,257,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_3b8f33980d1b90474c083fe0b61ead9dfaa19270fd59_ZbJgRGGT_,54,0,0
1640861771547,243,GET All Activities,200,OK,Endurance Test 1-10,text,true,,4419,801,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_bc0ad72b012e604464089580d0277cf383559270fd5b_8fggxzEZ_,31,0,0
1640861771547,31,GET All Activities-0,302,Moved Temporarily,Endurance Test 1-10,text,true,,760,183,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities,31,0,0
1640861771579,157,GET All Activities-1,302,Moved Temporarily,Endurance Test 1-10,text,true,,499,361,8,8,http://eqrkelava-appservice.azurewebsites.net.x.bc0ad72b012e604464089580d0277cf38355.9270fd5b.id.opendns.com/h/eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_bc0ad72b012e604464089580d0277cf383559270fd5b_8fggxzEZ_,157,0,109
1640861771736,54,GET All Activities-2,200,OK,Endurance Test 1-10,text,true,,3160,257,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_bc0ad72b012e604464089580d0277cf383559270fd5b_8fggxzEZ_,54,0,0
1640861771574,233,GET All Activities,200,OK,Endurance Test 1-6,text,true,,4419,801,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_21bc715a0a2ea045a90a1f107891cb2663109270fd5b_RdtMw9h4_,27,0,0
1640861771574,27,GET All Activities-0,302,Moved Temporarily,Endurance Test 1-6,text,true,,760,183,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities,27,0,0
1640861771602,150,GET All Activities-1,302,Moved Temporarily,Endurance Test 1-6,text,true,,499,361,8,8,http://eqrkelava-appservice.azurewebsites.net.x.21bc715a0a2ea045a90a1f107891cb266310.9270fd5b.id.opendns.com/h/eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_21bc715a0a2ea045a90a1f107891cb2663109270fd5b_RdtMw9h4_,150,0,99
1640861771752,55,GET All Activities-2,200,OK,Endurance Test 1-6,text,true,,3160,257,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities?X-OpenDNS-Session=_21bc715a0a2ea045a90a1f107891cb2663109270fd5b_RdtMw9h4_,55,0,0
1640861771784,29,Post All Activities,307,Temporary Redirect,Endurance Test 1-2,text,false,Test failed: code expected to contain /200/,763,312,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities,29,0,0
1640861771813,0,Get Specified Activity,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 65: http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,Endurance Test 1-2,text,false,Test failed: code expected to contain /200/,1158,0,8,8,http://eqrkelava-appservice.azurewebsites.net/api/Activities/?id=<EOF>,0,0,0
